
R Ashwin,3,0,35,1,11.66,4,4,1,0,0
AR Patel,4,0,36,0,9.00,7,3,1,1,0
TU Deshpande,3,0,35,0,11.66,3,4,1,0,0
MP Stoinis,2,0,15,0,7.50,2,1,0,0,0

Sandeep Sharma,4,0,27,2,6.75,11,4,0,2,0
S Nadeem,1,0,8,1,8.00,2,1,0,1,0
JO Holder,4,0,46,1,11.50,6,5,2,1,0
Rashid Khan,4,0,7,3,1.75,17,0,0,0,0
T Natarajan,4,0,26,2,6.50,11,2,1,0,0
V Shankar,1.5,0,11,1,6.00,3,1,0,0,0
DA Warner,0.1,0,2,0,12.00,0,0,0,1,0

GJ Maxwell,2,0,21,1,10.50,4,1,2,0,0
Mohammed Shami,4,0,35,3,8.75,13,3,3,0,0
Arshdeep Singh,2,0,18,0,9.00,5,3,0,1,0
M Ashwin,4,0,27,1,6.75,13,2,2,0,0
CJ Jordan,4,0,25,2,6.25,11,3,0,2,0
Ravi Bishnoi,4,1,20,2,5.00,11,0,1,0,0

PJ Cummins,4,0,31,0,7.75,13,3,2,0,0
M Prasidh Krishna,3,0,24,0,8.00,7,4,0,0,0
CV Varun,4,0,34,1,8.50,10,3,2,0,0
SP Narine,4,0,27,0,6.75,9,0,2,0,0
LH Ferguson,3.5,0,32,1,8.34,9,4,1,1,0

JC Archer,4,0,31,2,7.75,11,2,2,1,0
AS Rajpoot,4,0,60,0,15.00,7,3,6,4,0
Kartik Tyagi,4,0,45,1,11.25,6,4,3,0,0
S Gopal,4,0,30,2,7.50,8,3,1,0,0
R Tewatia,4,0,25,0,6.25,8,2,0,0,0

TA Boult,4,0,40,0,10.00,7,6,0,0,0
JL Pattinson,3.2,0,40,2,12.00,9,5,2,2,0
JJ Bumrah,4,0,38,0,9.50,7,4,1,1,0
KH Pandya,2,0,20,0,10.00,5,4,0,0,0
KA Pollard,2,0,18,0,9.00,3,0,1,3,0
RD Chahar,3,0,36,0,12.00,4,2,3,1,0

DL Chahar,4,0,31,2,7.75,9,3,1,0,0
Monu Kumar,2,0,20,0,10.00,4,2,0,3,1
SM Curran,3,0,19,3,6.33,6,1,0,2,1
MJ Santner,4,0,23,1,5.75,7,2,0,0,0
Imran Tahir,4,0,30,0,7.50,7,3,0,0,0
RA Jadeja,3,0,20,0,6.66,4,0,1,0,0

Washington Sundar,4,0,27,0,6.75,8,1,1,0,0
CH Morris,3.4,0,36,1,9.81,10,4,2,1,0
Mohammed Siraj,2,0,29,0,14.50,3,3,2,0,0
YS Chahal,4,0,21,1,5.25,7,1,0,0,0
MM Ali,2,0,17,0,8.50,3,1,1,0,0
NA Saini,3,0,19,0,6.33,10,2,1,0,0

Sandeep Sharma,4,0,29,2,7.25,10,1,1,1,0
KK Ahmed,4,0,31,0,7.75,7,3,0,0,0
JO Holder,4,0,27,2,6.75,6,2,0,2,0
Rashid Khan,4,0,14,2,3.50,15,0,1,0,0
T Natarajan,4,0,23,0,5.75,10,1,0,2,0

Mohammed Shami,4,0,34,1,8.50,11,4,1,1,0
Arshdeep Singh,3.5,0,23,3,6.00,9,1,1,1,0
M Ashwin,4,0,27,1,6.75,12,5,0,0,0
Ravi Bishnoi,4,0,13,1,3.25,14,1,0,0,0
CJ Jordan,4,0,17,3,4.25,12,1,0,2,0

TU Deshpande,4,0,40,0,10.00,10,6,1,1,0
A Nortje,4,0,27,2,6.75,9,4,0,0,0
K Rabada,4,0,33,2,8.25,10,3,1,2,0
AR Patel,1,0,7,0,7.00,3,1,0,0,0
MP Stoinis,4,0,41,2,10.25,9,6,1,2,0
R Ashwin,3,0,45,0,15.00,2,4,3,0,0

PJ Cummins,4,0,17,3,4.25,16,3,0,0,0
M Prasidh Krishna,2,0,19,0,9.50,4,1,1,1,2
KL Nagarkoti,2,0,11,0,5.50,7,2,0,0,0
LH Ferguson,4,0,30,1,7.50,8,4,0,0,0
SP Narine,4,0,37,0,9.25,4,0,2,1,0
CV Varun,4,0,20,5,5.00,9,1,0,1,0

TA Boult,4,1,18,4,4.50,17,3,0,1,0
JJ Bumrah,4,0,25,2,6.25,13,4,0,0,0
KH Pandya,3,0,16,0,5.33,8,1,0,1,0
RD Chahar,4,0,22,2,5.50,13,0,2,0,0
NM Coulter-Nile,4,0,25,1,6.25,14,1,1,3,0
KA Pollard,1,0,4,0,4.00,2,0,0,0,0

DL Chahar,4,0,34,0,8.50,11,5,1,0,0
